Item id	Item name	Item quantity
13263	Abyssal bludgeon	1
26471	Elite void robe (or)	1
26475	Void ranger helm (or)	1
26467	Void knight gloves (or)	1
26469	Elite void top (or)	1
22954	Devout boots	1
29806	Aranea boots	1
4153	Granite maul	3
10288	Rune helm (h2)	1
3842	Unholy book	23
9763	Magic cape(t)	2
27616	Ancient essence	68079
21940	Sapphire dragon bolts (e)	45
29775	Imcando hammer (off-hand)	1
25781	Ash sanctifier	1
26762	Ring of suffering (ri)	1
12938	Zul-andra teleport	34
21820	Revenant ether	1807
26477	Void melee helm (or)	1
26473	Void mage helm (or)	1
21802	Revenant cave teleport	24
6326	Snakeskin bandana	28
6328	Snakeskin boots	30
10499	Ava's accumulator	75
1035	Zamorak monk top	3
20220	Holy blessing	1
21326	Amethyst arrow	3187
1033	Zamorak monk bottom	1
10588	Salve amulet (e)	204
10587	Tarn's diary	1
25916	Dragon hunter crossbow (t)	1
26782	Salve amulet(ei)	1
25416	Bloodbark legs	1
21266	Purple slayer helmet (i)	1
13392	Xeric's talisman (inert)	3
11871	Slayer ring (3)	1
21177	Expeditious bracelet	35
7535	Diving apparatus	1
3387	Splitbark body	1
7534	Fishbowl helmet	1
29043	Blood moon chestplate	1
11804	Bandos godsword	1
11959	Black chinchompa	115
9757	Ranging cape(t)	1
29782	Spider cave teleport	5
11942	Ecumenical key	5
9419	Mith grapple	7
12508	Armadyl d'hide body	1
29143	Cooked moonlight antelope	309
26764	Ring of the gods (i)	1
27285	Eye of the corruptor	1
12926	Toxic blowpipe	1
24738	Strange old lockpick	1
4712	Ahrim's robetop	1
11824	Zamorakian spear	2
22370	Bryophyta's staff	1
19835	Clue scroll (master)	1
29004	Eclipse moon chestplate	1
29033	Eclipse moon tassets	1
6465	Ring of charos(a)	1
22981	Ferocious gloves	1
22973	Hydra's eye	1
22971	Hydra's fang	1
21350	Amethyst arrowtips	4214
1712	Amulet of glory(4)	1
27643	Charged ice	1
11816	Zamorak hilt	1
11814	Saradomin hilt	1
19933	Saradomin d'hide boots	1
12612	Book of darkness	15
2550	Ring of recoil	3
